"NO.","PART DESCRIPTION","REF.","STOCK NO.","PART NO.","CAGE"
"","ICS Cabinet Assembly, SICS","","7025-05-000-1773","32.1557.712-00","57219"
"","","","","",""
"1","Cabinet, computer, ICS","","7025-06-000-8087","202-0088-001","57219"
"1","Cabinet, computer, ICS","","7025-06-000-8087","WA4-421930-USPS-5","0HLX1"
"2","Monitor, SVGA, 17 inch, 1024 x 768","","7025-05-000-7119","EX701FB-1","0VRH3"
"2","Monitor, SVGA, 17 inch, 1024 x 768","","7025-05-000-7119","E70 (FST)","0V618"
"3","Cable Assembly, external video","","6150-04-000-6145","156-0593-001","57219"
"3","Cable Assembly, external video","","6150-04-000-6145","EVNPS05-0005-MF","59951"
"4","Keyboard Assembly, 101 key, rack mounted","","7025-04-000-6151","299-0023-001","57219"
"4","Keyboard Assembly, 101 key, rack mounted","","7025-04-000-6151","G81-1800LPMUS-0","01963"
"5","Cable, 6 foot, mouse/keyboard","","6150-04-000-6144","156-0594-001","57219"
"6","Hub, 8-port, with power supply","","7025-04-000-3328","AT-MR815LE-10","0T156"
"6","Hub, 8-port, with power supply","","7025-04-000-3328","102-0343-001","57219"
"6","Hub, 8-port, with power supply","","7025-04-000-3328","102-0343-001","57219"
"7","Slide, 28 inch","","NSL","200.1113-001","57219"
"7","Slide, 28 inch","","NSL","375QD-28","05236"
"8","Computer Assembly, ICS","","7025-04-000-6150","102-0377-003","57219"
"8","Computer Assembly, ICS","","7025-04-000-6150","TR4X-2874","0DJ42"
"9","Motherboard, dual cpu, 1 gb","","5998-04-000-6137","300-0222-001","57219"
"9","Motherboard, dual cpu, 1 gb","","5998-04-000-6137","BOXN440BX","34649"
"10","Processor, Pentium II, 350 mhz, 512 kb cache, with fan","","7025-04-000-6154","102-0370-001","57219"
"10","Processor, Pentium II, 350 mhz, 512 kb cache, with fan","","7025-04-000-6154","BX80523P350512E","34221"
"10","Processor, Pentium II, 350 mhz, 512 kb cache, with fan","","7025-04-000-6154","C99CP560","09YY7"
"10","Processor, Pentium II, 350 mhz, 512 kb cache, with fan","","7025-04-000-6154","232A805-2","03640"
"11","Drive, floppy, 3.5 inch, 1.44 mb","","7025-03-000-4941","232A813-1","03640"
"11","Drive, floppy, 3.5 inch, 1.44 mb","","7025-03-000-4941","FD-235HF-C291","50356"
"11","Drive, floppy, 3.5 inch, 1.44 mb","","7025-03-000-4941","102-0318-001","57219"
"11","Drive, floppy, 3.5 inch, 1.44 mb","","7025-03-000-4941","MPF920-1/131","3K872"
"12","Drive, cd-rom, internal, SCSI","","7025-04-000-0772","XM-5401B","0JR04"
"12","Drive, cd-rom, internal, SCSI","","7025-04-000-0772","064-0052-001","0ZS81"
"13","Chassis, computer, ICS/CFS, 26 deep x 17 wide x 7 inches high","","7025-04-000-6153","202-0083-001","57219"
"13","Chassis, computer, ICS/CFS, 26 deep x 17 wide x 7 inches high","","7025-04-000-6153","SS4-26A07-HS","0DJ42"
"14","Power supply, 250 W, ATX","","6130-04-000-6227","200-1078-001","57219"
"14","Power supply, 250 W, ATX","","6130-04-000-6227","MR2-6250F-2S","TP204"
"15","Power Supply Module, 6 output, 110/220 VAC, 250 W","","6130-04-000-6226","132-0130-001","57219"
"15","Power Supply Module, 6 output, 110/220 VAC, 250 W","","6130-04-000-6226","066-00104-00","0DJ42"
"16","Memory, DIMM, SDRAM, 128 mb","","5962-04-000-6138","150-0386-001","57219"
"16","Memory, DIMM, SDRAM, 128 mb","","5962-04-000-6138","IBM13M16734HCB-360T","1BBP4"
"16","Memory, DIMM, SDRAM, 128 mb","","5962-04-000-6138","I60089BX","50473"
"16","Memory, DIMM, SDRAM, 128 mb","","5962-04-000-6138","MT18LSDT1672AG-10BC4","66095"
"17","Cartridge, disk drive carrier, dp vi","","7025-04-000-6156","200-1077-001","57219"
"17","Cartridge, disk drive carrier, dp vi","","7025-04-000-6156","9086-102-05","0JE80"
