Site ID,Full Name
1,"ABILENE PO, TX, 79601-9997"
2,"AKRON PDC, OH, 44309-9702"
5,"ALBANY PDC, NY, 12288-9752"
7,"ALBUQUERQUE PDC, NM, 87101-5800"
9,"ALTOONA PO, PA, 16635-9997"
10,"AMARILLO PDF, TX, 79120-9997"
11,"ANAHEIM PDF, CA, 92899-9430"
12,"ANCHORAGE PDC, AK, 99530-9724"
153,"ARIZONA RPDC, AZ, 85323"
17,"ATLANTA GA LPC, GA, 30304-9361"
169,"ATLANTA GA RPDC, GA, 30268-2564"
20,"ATLANTA MTESC, GA, 30354-3017"
21,"AUGUSTA PDF, GA, 30901-9997"
22,"AUSTIN PDC, TX, 78710-9731"
23,"BAKERSFIELD PDC, CA, 93380-8050"
25,"BALT INC MAIL PDF, MD, 21090-2238"
24,"BALTIMORE PDC, MD, 21233-9731"
181,"BARRIGADA GU PO, GU, 96913-9998"
26,"BATON ROUGE PDC, LA, 70810-9731"
27,"BEAUMONT TX LPC, TX, 77707-9994"
503,"BETHPAGE NY PDC, NY, 11714-3566"
32,"BILLINGS PO, MT, 59101-9731"
34,"BIRMINGHAM PDC, AL, 35203-7611"
35,"BISMARCK PDF, ND, 58504-9771"
38,"BOISE ID RPDC, ID, 83708-9731"
117,"BOSTON MA PSA, MA, 02322"
39,"BOSTON PDC, MA, 02205-9735"
47,"BROCKTON PDC, MA, 02301-9731"
50,"BROOKLYN PDC, NY, 11256-9731"
52,"BUFFALO PDC, NY, 14240-9721"
53,"BURLINGTON PDF, VT, 05452-9731"
80,"BUSSE IL PDC, IL, 60007-6118"
60,"CAROL STREAM PDC, IL, 60199-9731"
61,"CASPER MPF, WY, 82609-9998"
62,"CEDAR RAPIDS PO, IA, 52406-9998"
97,"CENTRAL DAKOTA PDF, SD, 57399-0001"
64,"CENTRAL MASS PDC, MA, 01546-9731"
66,"CHAMPAIGN PDF, IL, 61821-9997"
68,"CHARLESTON PDC, WV, 25350-9701"
67,"CHARLESTON SC PDC, SC, 29423-9731"
265,"CHARLOTTE NC LPC, NC, 28214-9101"
146,"CHARLOTTE NC RPDC, NC, 28054-9998"
70,"CHARLOTTE PDC, NC, 28228-9835"
73,"CHATTANOOGA PDC, TN, 37421-9996"
75,"CHEYENNE PDC, WY, 82009-9997"
77,"CHICAGO MTESC, IL, 60440-4821"
78,"CHICAGO NDC, IL, 60130-2296"
76,"CHICAGO PDC, IL, 60699-9341"
83,"CINCINNATI NDC, OH, 45235-9998"
82,"CINCINNATI PDC, OH, 45234-9717"
88,"CLEVELAND FSS ANNEX, OH, 44181-9731"
87,"CLEVELAND PDC, OH, 44101-9732"
90,"COLORADO SPRINGS PDC, CO, 80910-9731"
91,"COLUMBIA MO PDF, MO, 65299-9731"
490,"COLUMBIA PDC, SC, 29172-9731"
94,"COLUMBUS PDC, OH, 43218-9731"
96,"CORPUS CHRISTI PDC, TX, 78469-0309"
466,"CURSEEN-MORRIS PDC, DC, 20066-9709"
100,"DALLAS  MTESC, TX, 75006-6424"
103,"DALLAS NDC, TX, 75398-9600"
98,"DALLAS PDC, TX, 75260-9342"
86,"DALLAS TX PSA, TX, 75050"
104,"DAYTON PDF, OH, 45401-9731"
486,"DELAWARE PDF, DE, 19720-9998"
107,"DENVER  MTESC, CO, 80011-8159"
108,"DENVER NDC, CO, 80217-2000"
493,"DENVER PDC, CO, 80266-9341"
112,"DES MOINES MTESC, IA, 50322-7230"
111,"DES MOINES NDC, IA, 50395-9998"
110,"DES MOINES PDC, IA, 50318-9731"
114,"DETROIT NDC, MI, 48101-9753"
113,"DETROIT PDC, MI, 48233-9741"
118,"DULLES PDC, VA, 20101-9341"
315,"DULUTH GA LPC, GA, 30026-9731"
119,"DULUTH PDF, MN, 55806-9998"
116,"DVD NJ PDC, NJ, 07099-0000"
127,"EASTERN MAINE PDF, ME, 04444-7097"
128,"EASTERN SHORE PDC, MD, 21601-9997"
129,"EAU CLAIRE PDF, WI, 54703-0487"
130,"EL PASO PDC, TX, 79910-9731"
134,"ERIE PO, PA, 16515-8931"
